time,Pressure_Bar,Temp_DegC_0,Temp_DegC_1,latitude,longitude,timeseries_id
UTC,,,,degrees_north,degrees_east,
2021-05-07T00:10:00Z,NaN,NaN,3.445,55.442,-163.74017,POPS0002
2021-05-07T01:10:00Z,8.294,3.445,3.444,55.442,-163.74017,POPS0002
2021-05-07T02:10:00Z,8.285,3.444,3.443,55.442,-163.74017,POPS0002
2021-05-07T03:10:00Z,8.259,3.444,3.442,55.442,-163.74017,POPS0002
2021-05-07T04:10:00Z,8.229,3.445,3.443,55.442,-163.74017,POPS0002
2021-05-07T05:10:00Z,8.201,3.447,3.446,55.442,-163.74017,POPS0002
2021-05-07T06:10:00Z,8.179,3.452,3.451,55.442,-163.74017,POPS0002
2021-05-07T07:10:00Z,8.173,3.456,3.454,55.442,-163.74017,POPS0002
2021-05-07T08:10:00Z,8.182,3.449,3.447,55.442,-163.74017,POPS0002
2021-05-07T09:10:00Z,8.211,3.446,3.445,55.442,-163.74017,POPS0002
2021-05-07T10:10:00Z,8.248,3.452,3.451,55.442,-163.74017,POPS0002
2021-05-07T11:10:00Z,8.291,3.455,3.454,55.442,-163.74017,POPS0002
2021-05-07T12:10:00Z,8.32,3.448,3.446,55.442,-163.74017,POPS0002
2021-05-07T13:10:00Z,8.333,3.437,3.436,55.442,-163.74017,POPS0002
2021-05-07T14:10:00Z,8.331,3.412,3.411,55.442,-163.74017,POPS0002
2021-05-07T15:10:00Z,8.313,3.394,3.393,55.442,-163.74017,POPS0002
2021-05-07T16:10:00Z,8.278,3.386,3.385,55.442,-163.74017,POPS0002
2021-05-07T17:10:00Z,8.239,3.385,3.384,55.442,-163.74017,POPS0002
2021-05-07T18:10:00Z,8.209,3.387,3.385,55.442,-163.74017,POPS0002
2021-05-07T19:10:00Z,8.189,3.391,3.389,55.442,-163.74017,POPS0002
2021-05-07T20:10:00Z,8.179,3.401,3.4,55.442,-163.74017,POPS0002
2021-05-07T21:10:00Z,8.188,3.411,3.41,55.442,-163.74017,POPS0002
2021-05-07T22:10:00Z,8.214,3.414,3.412,55.442,-163.74017,POPS0002
2021-05-07T23:10:00Z,8.244,3.407,3.406,55.442,-163.74017,POPS0002
2021-05-08T00:10:00Z,8.268,3.395,3.394,55.442,-163.74017,POPS0002
2021-05-08T01:10:00Z,8.287,3.39,3.389,55.442,-163.74017,POPS0002
2021-05-08T02:10:00Z,8.294,3.401,3.4,55.442,-163.74017,POPS0002
2021-05-08T03:10:00Z,8.283,3.442,3.44,55.442,-163.74017,POPS0002
2021-05-08T04:10:00Z,8.265,3.464,3.463,55.442,-163.74017,POPS0002
2021-05-08T05:10:00Z,8.242,3.46,3.458,55.442,-163.74017,POPS0002
2021-05-08T06:10:00Z,8.214,3.436,3.434,55.442,-163.74017,POPS0002
